Genes	biological_process	cellular_component	molecular_function	kegg_pathway
COX7C	NA	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
COX8B	NA	GO:0016021(integral component of membrane)	GO:0004129(cytochrome-c oxidase activity)	ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
CP	GO:0006879(cellular iron ion homeostasis);GO:0006826(iron ion transport)	GO:0005623(cell);GO:0005615(extracellular space);GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0005507(copper ion binding);GO:0004322(ferroxidase activity)	ko04216(Ferroptosis);ko00860(Porphyrin and chlorophyll metabolism)
CPA1	NA	NA	GO:0004181(metallocarboxypeptidase activity);GO:0008270(zinc ion binding)	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
CPA2	NA	NA	GO:0004181(metallocarboxypeptidase activity);GO:0008270(zinc ion binding)	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
CPB1	NA	NA	GO:0004181(metallocarboxypeptidase activity);GO:0008270(zinc ion binding)	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
CPSF6	NA	GO:0005849(mRNA cleavage factor complex)	GO:0003723(RNA binding)	ko03015(mRNA surveillance pathway)
CPT1A	NA	GO:0016021(integral component of membrane)	GO:0016746(transferase activity, transferring acyl groups)	ko04152(AMPK signaling pathway);ko00071(Fatty acid degradation);ko01212(Fatty acid metabolism);ko04920(Adipocytokine signaling pathway);ko04922(Glucagon signaling pathway);ko03320(PPAR signaling pathway)
CRAT	NA	NA	GO:0016746(transferase activity, transferring acyl groups)	ko04146(Peroxisome)
CSNK1A1	GO:0007507(heart development);GO:0090090(negative regulation of canonical Wnt signaling pathway);GO:0018105(peptidyl-serine phosphorylation);GO:0006468(protein phosphorylation)	GO:0005737(cytoplasm);GO:0005634(nucleus)	GO:0005524(ATP binding);GO:0004672(protein kinase activity);GO:0004674(protein serine/threonine kinase activity)	ko04340(Hedgehog signaling pathway);ko04341(Hedgehog signaling pathway - fly);ko04310(Wnt signaling pathway)
CSNK2A1	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko04520(Adherens junction);ko04137(Mitophagy - animal);ko04139(Mitophagy - yeast);ko04064(NF-kappa B signaling pathway);ko04310(Wnt signaling pathway);ko03008(Ribosome biogenesis in eukaryotes);ko04712(Circadian rhythm - plant)
CTBP1	GO:0048384(retinoic acid receptor signaling pathway)	NA	GO:0051287(NAD binding);GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor)	ko04330(Notch signaling pathway);ko04310(Wnt signaling pathway)
CTGF	GO:0043009(chordate embryonic development);GO:0007492(endoderm development);GO:0030903(notochord development);GO:0031099(regeneration)	GO:0005576(extracellular region)	GO:0005520(insulin-like growth factor binding)	ko04371(Apelin signaling pathway);ko04390(Hippo signaling pathway)
CTH	GO:0019346(transsulfuration)	NA	GO:0003824(catalytic activity);GO:0030170(pyridoxal phosphate binding)	ko00270(Cysteine and methionine metabolism);ko00260(Glycine, serine and threonine metabolism);ko00450(Selenocompound metabolism);ko01230(Biosynthesis of amino acids)
CTNNB1	GO:0007155(cell adhesion)	NA	GO:0045296(cadherin binding)	ko04520(Adherens junction);ko04510(Focal adhesion);ko04550(Signaling pathways regulating pluripotency of stem cells);ko04390(Hippo signaling pathway);ko04015(Rap1 signaling pathway);ko04310(Wnt signaling pathway);ko04916(Melanogenesis);ko04919(Thyroid hormone signaling pathway);ko04670(Leukocyte transendothelial migration)
CTPS1	GO:0044210(de novo CTP biosynthetic process);GO:0006541(glutamine metabolic process)	NA	GO:0005524(ATP binding);GO:0003883(CTP synthase activity)	ko00240(Pyrimidine metabolism)
CTRC	NA	NA	GO:0004252(serine-type endopeptidase activity)	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
CTRL	NA	NA	GO:0004252(serine-type endopeptidase activity)	ko04972(Pancreatic secretion);ko04974(Protein digestion and absorption)
CTSA	NA	NA	GO:0004185(serine-type carboxypeptidase activity)	ko04142(Lysosome);ko04614(Renin-angiotensin system)
CTSB	GO:0060026(convergent extension);GO:0009953(dorsal/ventral pattern formation);GO:0090504(epiboly);GO:0031101(fin regeneration);GO:0050790(regulation of catalytic activity)	NA	GO:0004197(cysteine-type endopeptidase activity)	ko04210(Apoptosis);ko04140(Autophagy - animal);ko04142(Lysosome);ko04924(Renin secretion);ko04612(Antigen processing and presentation);ko04621(NOD-like receptor signaling pathway)
CTSC	NA	NA	GO:0008234(cysteine-type peptidase activity)	ko04210(Apoptosis);ko04142(Lysosome)
CTSD	NA	GO:0005764(lysosome);GO:0016021(integral component of membrane)	GO:0004190(aspartic-type endopeptidase activity)	ko04210(Apoptosis);ko04140(Autophagy - animal);ko04142(Lysosome);ko04071(Sphingolipid signaling pathway)
CTSF	NA	NA	GO:0004869(cysteine-type endopeptidase inhibitor activity);GO:0008234(cysteine-type peptidase activity)	ko04210(Apoptosis);ko04142(Lysosome)
CTSL	NA	NA	GO:0008234(cysteine-type peptidase activity)	ko04210(Apoptosis);ko04140(Autophagy - animal);ko04142(Lysosome);ko04145(Phagosome);ko04612(Antigen processing and presentation)
CTSO	NA	NA	GO:0008234(cysteine-type peptidase activity)	ko04210(Apoptosis);ko04142(Lysosome)
CTSS	NA	NA	GO:0008234(cysteine-type peptidase activity)	ko04210(Apoptosis);ko04142(Lysosome);ko04145(Phagosome);ko04612(Antigen processing and presentation)
CTSZ	NA	NA	GO:0008234(cysteine-type peptidase activity)	ko04210(Apoptosis);ko04142(Lysosome)
CWC15	GO:0000398(mRNA splicing, via spliceosome)	GO:0005681(spliceosomal complex)	NA	ko03040(Spliceosome)
CYB5R2	NA	GO:0016021(integral component of membrane)	GO:0004128(cytochrome-b5 reductase activity, acting on NAD(P)H)	ko00520(Amino sugar and nucleotide sugar metabolism)
CYB5R3	NA	NA	GO:0004128(cytochrome-b5 reductase activity, acting on NAD(P)H)	ko00520(Amino sugar and nucleotide sugar metabolism)
CYBA	GO:0048246(macrophage chemotaxis);GO:1990266(neutrophil migration)	GO:0043020(NADPH oxidase complex)	GO:0020037(heme binding);GO:0046872(metal ion binding);GO:0016491(oxidoreductase activity)	ko04145(Phagosome);ko04380(Osteoclast differentiation);ko04670(Leukocyte transendothelial migration);ko04621(NOD-like receptor signaling pathway)
CYC	NA	GO:0005739(mitochondrion);GO:0070469(respirasome)	GO:0009055(electron transfer activity);GO:0020037(heme binding);GO:0046872(metal ion binding)	ko04210(Apoptosis);ko04214(Apoptosis - fly);ko04215(Apoptosis - multiple species);ko04115(p53 signaling pathway);ko02020(Two-component system);ko00920(Sulfur metabolism)
CYC1	NA	GO:0016021(integral component of membrane)	GO:0009055(electron transfer activity);GO:0020037(heme binding);GO:0046872(metal ion binding)	ko02020(Two-component system);ko00190(Oxidative phosphorylation);ko04260(Cardiac muscle contraction)
CYFIP1	NA	GO:0005737(cytoplasm)	NA	ko04810(Regulation of actin cytoskeleton);ko03013(RNA transport)
CYP1A1	NA	NA	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)	ko00380(Tryptophan metabolism);ko00140(Steroid hormone biosynthesis);ko00830(Retinol metabolism);ko00980(Metabolism of xenobiotics by cytochrome P450);ko04913(Ovarian Steroidogenesis)
CYP24A1	NA	NA	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0004497(monooxygenase activity);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen)	ko00100(Steroid biosynthesis)
CYP27A1	NA	NA	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0004497(monooxygenase activity);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen)	ko00120(Primary bile acid biosynthesis);ko03320(PPAR signaling pathway)
CYP2D14	NA	NA	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)	ko00590(Arachidonic acid metabolism);ko00591(Linoleic acid metabolism);ko04212(Longevity regulating pathway - worm);ko04913(Ovarian Steroidogenesis);ko04726(Serotonergic synapse);ko04750(Inflammatory mediator regulation of TRP channels)
CYP2J1	NA	GO:0016021(integral component of membrane)	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)	ko00590(Arachidonic acid metabolism);ko00591(Linoleic acid metabolism);ko04212(Longevity regulating pathway - worm);ko04913(Ovarian Steroidogenesis);ko04726(Serotonergic synapse);ko04750(Inflammatory mediator regulation of TRP channels)
CYP2J2	NA	NA	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)	ko00590(Arachidonic acid metabolism);ko00591(Linoleic acid metabolism);ko04212(Longevity regulating pathway - worm);ko04913(Ovarian Steroidogenesis);ko04726(Serotonergic synapse);ko04750(Inflammatory mediator regulation of TRP channels)
CYP2J6	NA	GO:0016021(integral component of membrane)	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)	ko00590(Arachidonic acid metabolism);ko00591(Linoleic acid metabolism);ko04212(Longevity regulating pathway - worm);ko04913(Ovarian Steroidogenesis);ko04726(Serotonergic synapse);ko04750(Inflammatory mediator regulation of TRP channels)
CYP2U1	NA	GO:0016021(integral component of membrane)	GO:0020037(heme binding);GO:0005506(iron ion binding);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen)	ko00590(Arachidonic acid metabolism)
CYP46A1	GO:0006707(cholesterol catabolic process)	GO:0016021(integral component of membrane)	GO:0033781(cholesterol 24-hydroxylase activity);GO:0020037(heme binding);GO:0005506(iron ion binding)	ko00120(Primary bile acid biosynthesis)
CYP7A1	GO:0006699(bile acid biosynthetic process);GO:0071333(cellular response to glucose stimulus);GO:0006707(cholesterol catabolic process);GO:0042632(cholesterol homeostasis)	GO:0005623(cell);GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	GO:0008123(cholesterol 7-alpha-monooxygenase activity);GO:0020037(heme binding);GO:0005506(iron ion binding)	ko00120(Primary bile acid biosynthesis);ko00140(Steroid hormone biosynthesis);ko04976(Bile secretion);ko03320(PPAR signaling pathway)
CYPA	GO:0006457(protein folding)	NA	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)	ko04020(Calcium signaling pathway);ko04022(cGMP - PKG signaling pathway)
DAB2	GO:0001525(angiogenesis);GO:0007219(Notch signaling pathway);GO:0006898(receptor-mediated endocytosis);GO:0030510(regulation of BMP signaling pathway)	NA	NA	ko04144(Endocytosis)
DAD1	GO:0006486(protein glycosylation)	GO:0016021(integral component of membrane);GO:0008250(oligosaccharyltransferase complex)	GO:0004579(dolichyl-diphosphooligosaccharide-protein glycotransferase activity)	ko04141(Protein processing in endoplasmic reticulum);ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
DAPK2	NA	NA	GO:0005524(ATP binding);GO:0004674(protein serine/threonine kinase activity)	ko04140(Autophagy - animal)
DARS	GO:0006422(aspartyl-tRNA aminoacylation)	GO:0005737(cytoplasm)	GO:0004815(aspartate-tRNA ligase activity);GO:0005524(ATP binding);GO:0003676(nucleic acid binding)	ko00970(Aminoacyl-tRNA biosynthesis)
DBI	NA	NA	GO:0000062(fatty-acyl-CoA binding)	ko03320(PPAR signaling pathway)
DCTN6	NA	GO:0005869(dynactin complex)	NA	ko04962(Vasopressin-regulated water reabsorption)
DCXR	NA	NA	GO:0016491(oxidoreductase activity)	ko00040(Pentose and glucuronate interconversions)
DDIT4	GO:0009968(negative regulation of signal transduction)	GO:0005737(cytoplasm)	NA	ko04140(Autophagy - animal);ko04151(PI3K-Akt signaling pathway);ko04150(mTOR signaling pathway)
DDOST	GO:0018279(protein N-linked glycosylation via asparagine)	GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	NA	ko04141(Protein processing in endoplasmic reticulum);ko00510(N-Glycan biosynthesis);ko00513(Various types of N-glycan biosynthesis)
DDX5	NA	NA	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003676(nucleic acid binding)	ko03040(Spliceosome)
DERA	GO:0009264(deoxyribonucleotide catabolic process)	GO:0005737(cytoplasm)	GO:0004139(deoxyribose-phosphate aldolase activity)	ko00030(Pentose phosphate pathway)
DERL1	NA	GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	NA	ko04141(Protein processing in endoplasmic reticulum)
DERL2	NA	GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	NA	ko04141(Protein processing in endoplasmic reticulum)
DGAT2	NA	GO:0016021(integral component of membrane)	GO:0016747(transferase activity, transferring acyl groups other than amino-acyl groups)	ko00561(Glycerolipid metabolism);ko04975(Fat digestion and absorption)
DHCR24	NA	GO:0016021(integral component of membrane)	GO:0071949(FAD binding);GO:0016491(oxidoreductase activity)	ko00100(Steroid biosynthesis)
DHCR7	GO:0016126(sterol biosynthetic process)	GO:0016021(integral component of membrane)	GO:0016628(oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor)	ko00100(Steroid biosynthesis)
DHX15	NA	NA	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003676(nucleic acid binding)	ko03040(Spliceosome)
DHX8	GO:0051301(cell division);GO:0070054(mRNA splicing, via endonucleolytic cleavage and ligation);GO:0060215(primitive hemopoiesis)	GO:0005634(nucleus)	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003676(nucleic acid binding)	ko03040(Spliceosome)
DIABLO	GO:0006919(activation of cysteine-type endopeptidase activity involved in apoptotic process);GO:0006915(apoptotic process)	GO:0005739(mitochondrion)	NA	ko04210(Apoptosis);ko04215(Apoptosis - multiple species)
DKC1	GO:0060216(definitive hemopoiesis);GO:0001522(pseudouridine synthesis);GO:0006364(rRNA processing)	NA	GO:0009982(pseudouridine synthase activity);GO:0003723(RNA binding)	ko03008(Ribosome biogenesis in eukaryotes)
DLB	GO:0007154(cell communication);GO:0007275(multicellular organism development)	GO:0016021(integral component of membrane)	GO:0005509(calcium ion binding)	ko04330(Notch signaling pathway);ko04658(Th1 and Th2 cell differentiation)
DLD	GO:0045454(cell redox homeostasis);GO:0060047(heart contraction)	GO:0005623(cell)	GO:0004148(dihydrolipoyl dehydrogenase activity);GO:0009055(electron transfer activity);GO:0050660(flavin adenine dinucleotide binding)	ko00260(Glycine, serine and threonine metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00020(Citrate cycle (TCA cycle));ko00010(Glycolysis / Gluconeogenesis);ko00630(Glyoxylate and dicarboxylate metabolism);ko00640(Propanoate metabolism);ko00620(Pyruvate metabolism);ko01200(Carbon metabolism)
DLL4	GO:0007154(cell communication);GO:0007275(multicellular organism development)	GO:0016021(integral component of membrane)	GO:0005509(calcium ion binding)	ko04330(Notch signaling pathway);ko04658(Th1 and Th2 cell differentiation)
DLST	GO:0006754(ATP biosynthetic process);GO:0060047(heart contraction);GO:0030097(hemopoiesis);GO:0070584(mitochondrion morphogenesis);GO:0006099(tricarboxylic acid cycle)	GO:0045252(oxoglutarate dehydrogenase complex)	GO:0004149(dihydrolipoyllysine-residue succinyltransferase activity)	ko00310(Lysine degradation);ko00020(Citrate cycle (TCA cycle));ko01200(Carbon metabolism)
DMGDH	NA	NA	GO:0016491(oxidoreductase activity)	ko00260(Glycine, serine and threonine metabolism)
DNAJA1	GO:0006457(protein folding);GO:0009408(response to heat)	NA	GO:0005524(ATP binding);GO:0031072(heat shock protein binding);GO:0046872(metal ion binding);GO:0051082(unfolded protein binding)	ko04141(Protein processing in endoplasmic reticulum)
DNAJA2	GO:0006457(protein folding);GO:0009408(response to heat)	NA	GO:0005524(ATP binding);GO:0031072(heat shock protein binding);GO:0046872(metal ion binding);GO:0051082(unfolded protein binding)	ko04141(Protein processing in endoplasmic reticulum)
DNAJB1	GO:0002088(lens development in camera-type eye);GO:0006457(protein folding)	NA	GO:0051082(unfolded protein binding)	ko04141(Protein processing in endoplasmic reticulum)
DNAJB11	GO:0006457(protein folding)	NA	GO:0051082(unfolded protein binding)	ko04141(Protein processing in endoplasmic reticulum)
DNAJB12	NA	GO:0016021(integral component of membrane)	NA	ko04141(Protein processing in endoplasmic reticulum)
DNAJB4	GO:0002088(lens development in camera-type eye);GO:0006457(protein folding)	NA	GO:0051082(unfolded protein binding)	ko04141(Protein processing in endoplasmic reticulum)
DNAJC1	NA	GO:0016021(integral component of membrane);GO:0005634(nucleus)	GO:0003677(DNA binding)	ko04141(Protein processing in endoplasmic reticulum)
DNM2	GO:0006897(endocytosis)	GO:0005874(microtubule)	GO:0005525(GTP binding);GO:0003924(GTPase activity)	ko04144(Endocytosis);ko04072(Phospholipase D signaling pathway);ko04961(Endocrine and other factor-regulated calcium reabsorption);ko04721(Synaptic vesicle cycle)
DOLPP1	NA	GO:0016021(integral component of membrane)	GO:0016787(hydrolase activity)	ko00510(N-Glycan biosynthesis)
DPAGT1	GO:0006488(dolichol-linked oligosaccharide biosynthetic process)	GO:0016021(integral component of membrane)	GO:0008963(phospho-N-acetylmuramoyl-pentapeptide-transferase activity);GO:0003975(UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity)	ko00510(N-Glycan biosynthesis)
DPM1	GO:0061061(muscle structure development);GO:0006486(protein glycosylation)	GO:0005783(endoplasmic reticulum)	GO:0004582(dolichyl-phosphate beta-D-mannosyltransferase activity)	ko00510(N-Glycan biosynthesis)
DPM3	GO:0006486(protein glycosylation);GO:0061061(muscle structure development)	GO:0005789(endoplasmic reticulum membrane);GO:0016021(integral component of membrane)	NA	ko00510(N-Glycan biosynthesis)
DPP4	NA	GO:0016021(integral component of membrane)	GO:0004252(serine-type endopeptidase activity)	ko04974(Protein digestion and absorption)
DPYS	NA	GO:0005737(cytoplasm)	GO:0016810(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds)	ko00770(Pantothenate and CoA biosynthesis);ko00410(beta-Alanine metabolism);ko00240(Pyrimidine metabolism);ko00983(Drug metabolism - other enzymes)
DUSP1-A	NA	NA	GO:0017017(MAP kinase tyrosine/serine/threonine phosphatase activity);GO:0004725(protein tyrosine phosphatase activity)	ko04010(MAPK signaling pathway)
DUSP2	NA	NA	GO:0017017(MAP kinase tyrosine/serine/threonine phosphatase activity);GO:0004725(protein tyrosine phosphatase activity)	ko04010(MAPK signaling pathway)
DUSP4	GO:0001714(endodermal cell fate specification)	NA	GO:0017017(MAP kinase tyrosine/serine/threonine phosphatase activity);GO:0004725(protein tyrosine phosphatase activity)	ko04010(MAPK signaling pathway)
DUT	GO:0006226(dUMP biosynthetic process);GO:0046081(dUTP catabolic process)	NA	GO:0004170(dUTP diphosphatase activity);GO:0000287(magnesium ion binding)	ko00240(Pyrimidine metabolism)
DYNLL2	GO:0007017(microtubule-based process)	GO:0005737(cytoplasm);GO:0030286(dynein complex);GO:0005874(microtubule)	GO:0003774(motor activity)	ko04962(Vasopressin-regulated water reabsorption)
ECH1	NA	NA	GO:0003824(catalytic activity)	ko04146(Peroxisome)
ECHS1	NA	NA	GO:0003824(catalytic activity)	ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00650(Butanoate metabolism);ko00640(Propanoate metabolism);ko00071(Fatty acid degradation);ko00062(Fatty acid elongation);ko00410(beta-Alanine metabolism);ko01200(Carbon metabolism);ko01212(Fatty acid metabolism);ko00627(Aminobenzoate degradation);ko00930(Caprolactam degradation)
ECI1	NA	NA	GO:0003824(catalytic activity)	ko00071(Fatty acid degradation)
ECI2	NA	NA	GO:0003824(catalytic activity);GO:0000062(fatty-acyl-CoA binding)	ko04146(Peroxisome);ko00071(Fatty acid degradation)
EEF1A	NA	NA	GO:0005525(GTP binding);GO:0003924(GTPase activity);GO:0003746(translation elongation factor activity)	ko03013(RNA transport)
EEF1D	GO:0006432(phenylalanyl-tRNA aminoacylation)	GO:0005853(eukaryotic translation elongation factor 1 complex)	GO:0005524(ATP binding);GO:0000287(magnesium ion binding);GO:0004826(phenylalanine-tRNA ligase activity);GO:0003746(translation elongation factor activity)	ko00970(Aminoacyl-tRNA biosynthesis)
EEF2	NA	NA	GO:0005525(GTP binding);GO:0003924(GTPase activity)	ko04152(AMPK signaling pathway);ko04921(Oxytocin signaling pathway)
EEF2K	GO:0061300(cerebellum vasculature development)	NA	GO:0005524(ATP binding);GO:0005509(calcium ion binding);GO:0005516(calmodulin binding);GO:0004686(elongation factor-2 kinase activity)	ko04152(AMPK signaling pathway);ko04921(Oxytocin signaling pathway)
EFF	NA	NA	GO:0005524(ATP binding);GO:0016740(transferase activity)	ko04013(MAPK signaling pathway - fly);ko04141(Protein processing in endoplasmic reticulum);ko04120(Ubiquitin mediated proteolysis);ko04624(Toll and Imd signaling pathway)
EGLN2	NA	NA	GO:0005506(iron ion binding);GO:0031418(L-ascorbic acid binding);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen)	ko04066(HIF-1 signaling pathway)
EGR1	NA	GO:0005634(nucleus)	GO:0003677(DNA binding);GO:0046872(metal ion binding)	ko04371(Apelin signaling pathway)
EHHADH	GO:0006631(fatty acid metabolic process)	NA	GO:0003857(3-hydroxyacyl-CoA dehydrogenase activity)	ko04146(Peroxisome);ko00310(Lysine degradation);ko00380(Tryptophan metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00650(Butanoate metabolism);ko00640(Propanoate metabolism);ko00071(Fatty acid degradation);ko00410(beta-Alanine metabolism);ko01200(Carbon metabolism);ko01212(Fatty acid metabolism);ko00627(Aminobenzoate degradation);ko00930(Caprolactam degradation);ko03320(PPAR signaling pathway)
EI24	NA	GO:0016021(integral component of membrane)	NA	ko04115(p53 signaling pathway)
EIF1	NA	GO:0016282(eukaryotic 43S preinitiation complex)	GO:0043024(ribosomal small subunit binding);GO:0003723(RNA binding);GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF1AX	NA	NA	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF2B1	GO:0044237(cellular metabolic process)	NA	NA	ko03013(RNA transport)
EIF2B2	GO:0044237(cellular metabolic process)	NA	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF2B3	GO:0009058(biosynthetic process)	NA	GO:0016779(nucleotidyltransferase activity)	ko03013(RNA transport)
EIF2B4	NA	NA	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF2S1	NA	NA	GO:0003743(translation initiation factor activity)	ko04210(Apoptosis);ko04140(Autophagy - animal);ko04138(Autophagy - yeast);ko04141(Protein processing in endoplasmic reticulum);ko03013(RNA transport)
EIF2S2	NA	NA	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF2S3	NA	NA	GO:0005525(GTP binding);GO:0003924(GTPase activity);GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3A	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3B	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity);GO:0031369(translation initiation factor binding)	ko03013(RNA transport)
EIF3C	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity);GO:0031369(translation initiation factor binding)	ko03013(RNA transport)
EIF3D	GO:0002191(cap-dependent translational initiation);GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0098808(mRNA cap binding);GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3E	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0071540(eukaryotic translation initiation factor 3 complex, eIF3e);GO:0005634(nucleus)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3EA	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0071540(eukaryotic translation initiation factor 3 complex, eIF3e);GO:0005634(nucleus)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3F	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity);GO:0031369(translation initiation factor binding)	ko03013(RNA transport)
EIF3G	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3H	GO:0007420(brain development);GO:0001732(formation of cytoplasmic translation initiation complex);GO:0048882(lateral line development);GO:0001944(vasculature development)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3I	GO:0001732(formation of cytoplasmic translation initiation complex);GO:0001889(liver development);GO:0002040(sprouting angiogenesis)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF3JA	GO:0001732(formation of cytoplasmic translation initiation complex)	GO:0016282(eukaryotic 43S preinitiation complex);GO:0033290(eukaryotic 48S preinitiation complex);GO:0005852(eukaryotic translation initiation factor 3 complex)	GO:0003743(translation initiation factor activity)	ko03013(RNA transport)
EIF4A1	NA	NA	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003676(nucleic acid binding)	ko03013(RNA transport)
EIF4A2	NA	NA	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003676(nucleic acid binding)	ko03013(RNA transport)
EIF4A3	NA	NA	GO:0005524(ATP binding);GO:0004386(helicase activity);GO:0003743(translation initiation factor activity);GO:0003676(nucleic acid binding)	ko03040(Spliceosome);ko03013(RNA transport);ko03015(mRNA surveillance pathway)
EIF4B	NA	NA	GO:0003723(RNA binding)	ko04151(PI3K-Akt signaling pathway);ko04150(mTOR signaling pathway);ko03013(RNA transport)
